Scientific name,Scientific name modif,English,Chinese,Chinese (Traditional),Czech,Danish,Dutch,Estonian,Finnish,French,French_modif,German,Hungarian,Italian,Japanese,Lithuanian,Norwegian,Polish,Portuguese,Russian,Slovak,Spanish,Swedish
Dendrocygna autumnalis,Dendrocygna autumnalis,Black-bellied Whistling Duck,????,????,husi?ka podzimní,Sortbuget Tr?and,Zwartbuikfluiteend,punanokk-vilepart,punaviheltäjäsorsa,Dendrocygne à ventre noir,Dendrocygne à ventre noir,Rotschnabel-Pfeifgans,piroscs?r? fütyül?lúd,Dendrocigna pancianera,????????????,Raudonsnap? med??s?,R?dnebbplystreand,drzewica czarnobrzucha,Asa-branca,??????? ????????? ????,stromárka sivokrká,Suirirí piquirrojo,svartbukig visseland
Dendrocygna guttata,Dendrocygna guttata,Spotted Whistling Duck,????,????,husi?ka te?kovaná,Plettet Tr?and,Gevlekte Fluiteend,täpik-vilepart,täpläviheltäjäsorsa,Dendrocygne tacheté,Dendrocygne tacheté,Tüpfelpfeifgans,gyöngyös fütyül?lúd,Dendrocigna macchiata,????????????,D?m?toji med??s?,Perleplystreand,drzewica plamista,Marreca-pintada,????????? ????????? ????,stromárka bodkavá,Suirirí moteado,fläckig visseland
Dendrocygna arborea,Dendrocygna arborea,West Indian Whistling Duck,?????,????,husi?ka stromová,Cubatr?and,West-Indische Fluiteend,palmi-vilepart,karibianviheltäjäsorsa,Dendrocygne des Antilles,Dendrocygne des Antilles,Kubapfeifgans,pálmafütyül?lúd,Dendrocigna delle Indie Occidentali,????????????,Kubin? med??s?,Palmeplystreand,drzewica karaibska,Marreca-laguaça,??????????? ????????? ????,stromárka ve?ká,Suirirí yaguaza,karibvisseland
Dendrocygna bicolor,Dendrocygna bicolor,Fulvous Whistling Duck,????,????,husi?ka dvoubarvá,Okkertr?and,Rosse Fluiteend,ruuge-vilepart,ruskoviheltäjäsorsa,Dendrocygne fauve,Dendrocygne fauve,Gelbbrust-Pfeifgans,sujtásos fütyül?lúd,Dendrocigna fulva,??????????,Dvispalv? med??s?,Brunplystreand,drzewica dwubarwna,Marreca-caneleira,????? ????????? ????,stromárka hrdzavá,Suirirí bicolor,brun visseland
Dendrocygna eytoni,Dendrocygna eytoni,Plumed Whistling Duck,????,????,husi?ka australská,Australsk Tr?and,Australische Fluiteend,rohtla-vilepart,sirppiviheltäjäsorsa,Dendrocygne d'Eyton,Dendrocygne d'Eyton,Gelbfuß-Pfeifgans,sarlós fütyül?lúd,Dendrocigna falcata,???????????,Eitono med??s?,Prydplystreand,drzewica australijska,Marreca-emplumada,??????????? ????????? ????,stromárka kosierkavá,Suirirí australiano,plymvisseland
Dendrocygna arcuata,Dendrocygna arcuata,Wandering Whistling Duck,????,????,husi?ka st?hovavá,Rustfarvet Tr?and,Zwervende Fluiteend,roostek?ht-vilepart,suomuviheltäjäsorsa,Dendrocygne à lunules,Dendrocygne à lunules,Wanderpfeifgans,vándorfütyül?lúd,Dendrocigna errante,??????????,?vilpian?ioji med??s?,Hetteplystreand,drzewica w?drowna,Marreca-errante,????????????? ????????? ????,stromárka s?ahovavá,Suirirí capirotado,vandringsvisseland
Dendrocygna javanica,Dendrocygna javanica,Lesser Whistling Duck,???,???????,husi?ka malá,Lille Tr?and,Indische Fluiteend,väike-vilepart,intianviheltäjäsorsa,Dendrocygne siffleur,Dendrocygne siffleur,Javapfeifgans,bengáli fütyül?lúd,Dendrocigna indiana,????????,Indin? med??s?,Sm?plystreand,drzewica indyjska,Marreca de Java,????? ????????? ????,stromárka malá,Suirirí de Java,orientvisseland
Thalassornis leuconotus,Thalassornis leuconotus,White-backed Duck,???,???,husi?ka krátkoocasá,Lappedykkerand,Witrugeend,püttpart,lampisorsa,Dendrocygne à dos blanc,Dendrocygne à dos blanc,Weißrücken-Pfeifgans,vöcsökréce,Anatra dorsobianco,??????,Baltanugar? antis,Hvitryggand,pokraczka,Pato-de-dorso-branco,??????????? ????,stromárka jarabá,Pato dorsiblanco,vitryggig and
Cereopsis novaehollandiae,Cereopsis novaehollandiae,Cape Barren Goose,????,???,husa ku?í,H?nseg?s,Hoendergans,tuhkhani,tuhkahanhi,Céréopse cendré,Céréopse cendré,Hühnergans,tyúklúd,Oca di Cape Barren,??????,Vi?tin? ??sis,H?nseg?s,kapodziób,Ganso-cinzento,??????? ????,zemnárka krátkozobá,Ganso cenizo,hönsg?s
Anser cygnoides,Anser cygnoides,Swan Goose,??,??,husa labutí,Svaneg?s,Zwaangans,stepihani,joutsenhanhi,Oie cygnoïde,Oie cygnoïde,Schwanengans,kínai hattyúlúd,Oca cigno,??????,Gulbin? ??sis,Svaneg?s,g?? ?ab?dzionosa,Ganso-cisne,???????,hus labutia,Ánsar cisnal,svang?s
Anser fabalis,Anser fabalis,Taiga Bean Goose,??,????,husa polní,S?dg?s,Taigarietgans,rabahani,metsähanhi,Oie des moissons,Oie des moissons,Saatgans,vetési lúd,Oca granaiola della taiga,??????,?elmenin? ??sis,S?dg?s,g?? zbo¿owa,Ganso-campestre,????????,hus siatinná,Ánsar campestre,tajgasädg?s
Anser serrirostris,Anser serrirostris,Tundra Bean Goose,????,????,0,Tundras?dg?s,Toendrarietgans,0,0,Oie de la toundra,Oie de la toundra,Tundrasaatgans,0,Oca granaiola della tundra,????,Tundrin? ?elmenin? ??sis,Tundras?dg?s,g?? tundrowa,0,????????? ????????? ????,hus tundrová,0,tundrasädg?s
Anser brachyrhynchus,Anser brachyrhynchus,Pink-footed Goose,???,???,husa krátkozobá,Kortn?bbet G?s,Kleine Rietgans,lühinokk-hani,lyhytnokkahanhi,Oie à bec court,Oie à bec court,Kurzschnabelgans,rövidcs?r? lúd,Oca zamperosee,????????,Trumpasnap? ??sis,Kortnebbg?s,g?? krótkodzioba,Ganso-de-bico-curto,????????????? ????????,hus krátkozobá,Ánsar piquicorto,spetsbergsg?s
Anser anser,Anser anser,Greylag Goose,??,??,husa velká,Gr?g?s,Grauwe Gans,hallhani e. roohani,merihanhi,Oie cendrée,Oie cendrée,Graugans,nyári lúd,Oca selvatica,??????,Pilkoji ??sis,Gr?g?s,g?gawa,Ganso-bravo,????? ????,hus divá,Ánsar común,gr?g?s
Anser albifrons,Anser albifrons,Greater White-fronted Goose,???,???,husa b?lo?elá,Blisg?s,Kolgans,suur-laukhani,tundrahanhi,Oie rieuse,Oie rieuse,Blässgans,nagy lilik,Oca lombardella,???,Baltakakt? ??sis,Tundrag?s,g?? bia?oczelna,Ganso-de-testa-branca,????????? ????,hus bielo?elá,Ánsar careto,bläsg?s
Anser erythropus,Anser erythropus,Lesser White-fronted Goose,????,????,husa malá,Dv?rgg?s,Dwerggans,väike-laukhani,kiljuhanhi,Oie naine,Oie naine,Zwerggans,kis lilik,Oca lombardella minore,????,Ma?oji ??sis,Dvergg?s,g?? ma?a,Ganso-pequeno,?????????,hus malá,Ánsar chico,fjällg?s
Anser indicus,Anser indicus,Bar-headed Goose,???,???,husa indická,Indisk G?s,Indische Gans,vööthani,tiibetinhanhi,Oie à tête barrée,Oie à tête barrée,Streifengans,indiai lúd,Oca indiana,?????,Kalnin? ??sis,Stripeg?s,g?? tybeta?ska,Ganso-de-cabeça-listada,?????? ????,hus vrchovská,Ánsar indio,stripg?s
Chen caerulescens,Anser caerulescens,Snow Goose,??,??,husa sn??ní,Sneg?s,Sneeuwgans,lumehani,lumihanhi,Oie des neiges,Oie des neiges,Schneegans,sarki lúd,Oca delle nevi,????,Sniegin? ??sis,Sn?g?s,?nie¿yca du¿a,Ganso-das-neves,????? ????,hus sne?ná,Ánsar nival,snög?s
Chen rossii,Chen rossii,Ross's Goose,???,???,husa b?lostná,Dv?rgsneg?s,Ross' Gans,väike-lumehani,eskimohanhi,Oie de Ross,Oie de Ross,Zwergschneegans,hólúd,Oca di Ross,??????,Roso ??sis,Eskimog?s,?nie¿yca ma?a,Ganso-das-neves-pequeno,???? ?????,hus sne?ni?ka,Ánsar de Ross,dvärgsnög?s
Chen canagica,Chen canagica,Emperor Goose,??,??,husa císa?ská,Kejserg?s,Keizergans,randhani,beringinhanhi,Oie empereur,Oie empereur,Kaisergans,császárlúd,Oca imperatrice,?????,Imperatori?koji ??sis,Keiserg?s,?nie¿yca cesarska,Ganso-imperador,???????,hus bielohlavá,Ánsar emperador,kejsarg?s
Branta canadensis,Branta canadensis,Canada Goose,?????,????,berne?ka velká,Canadag?s,Grote Canadese Gans,kanada lagle,kanadanhanhi,Bernache du Canada,Bernache du Canada,Kanadagans,kanadai lúd,Oca canadese,?????,Kanadin? bernikl?,Kanadag?s,bernikla kanadyjska,Ganso do Canadá,????????? ???????,bernikla ve?ká,Barnacla canadiense grande,kanadag?s
Branta hutchinsii,Branta hutchinsii,Cackling Goose,?????,?????,0,Lys Dv?rgcanadag?s,Kleine Canadese Gans,eskimo lagle,0,Bernache de Hutchins,Bernache de Hutchins,Zwergkanadagans,alaszkai lúd,Oca canadese di Hutchins,????????,?iaurin? kanadin? bernikl?,Polarg?s,bernikla pó?nocna,Ganso-da-tundra,????? ????????? ???????,bernikla tundrová,Barnacla canadiense chica,dvärgkanadag?s
Branta sandvicensis,Branta sandvicensis,Nene,?????,??????????,berne?ka havajská,Hawaiig?s,Hawaiigans,nenelagle,havaijinhanhi,Bernache néné,Bernache néné,Hawaiigans,hawaii lúd,Oca delle Hawaii,?????,Havajin? bernikl?,Hawaiig?s,bernikla hawajska,Ganso-havaiano,????????? ???????,bernikla vlnkovaná,Barnacla nené,hawaiig?s
Branta bernicla,Branta bernicla,Brant Goose,??,??,berne?ka tmavá,Knorteg?s,Rotgans,mustlagle,sepelhanhi,Bernache cravant,Bernache cravant,Ringelgans,örvös lúd,Oca colombaccio,????,Paprastoji bernikl?,Ringg?s,bernikla obro¿na,Ganso-de-faces-pretas,?????? ???????,bernikla tmavá,Barnacla carinegra,prutg?s
Branta leucopsis,Branta leucopsis,Barnacle Goose,????,????,berne?ka b?lolící,Bramg?s,Brandgans,valgep?sk-lagle,valkoposkihanhi,Bernache nonnette,Bernache nonnette,Weißwangengans,apácalúd,Oca facciabianca,??????,Baltaskruost? bernikl?,Hvitkinng?s,bernikla bia?olica,Ganso-marisco,????????? ???????,bernikla bielolíca,Barnacla cariblanca,vitkindad g?s
Branta ruficollis,Branta ruficollis,Red-breasted Goose,????,????,berne?ka rudokrká,R?dhalset G?s,Roodhalsgans,punakael-lagle,punakaulahanhi,Bernache à cou roux,Bernache à cou roux,Rothalsgans,vörösnyakú lúd,Oca collorosso,????,Rudakakl? bernikl?,R?dhalsg?s,bernikla rdzawoszyja,Ganso-de-peito-ruivo,??????????? ???????,bernikla ?ervenokrká,Barnacla cuelliroja,rödhalsad g?s
Coscoroba coscoroba,Coscoroba coscoroba,Coscoroba Swan,????,????,labu? koskoroba,Coscorobasvane,Coscoroba,koskoroba (koskorobaluik),ankkajoutsen,Coscoroba blanc,Coscoroba blanc,Coscorobaschwan,koszkoróbahattyú,Cigno coscoroba,???????,Koskoroba,Coscorobasvane,koskoroba,Capororoca,?????????,koskoroba biela,Cisne coscoroba,coscorobasvan
Cygnus atratus,Cygnus atratus,Black Swan,???,???,labu? ?erná,Sortsvane,Zwarte Zwaan,mustluik,mustajoutsen,Cygne noir,Cygne noir,Schwarzschwan,fekete hattyú,Cigno nero,?????,Juodoji gulb?,Svartsvane,?ab?d? czarny,Cisne-preto,?????? ??????,labu? ?ierna,Cisne negro,svart svan
Cygnus melancoryphus,Cygnus melancoryphus,Black-necked Swan,????,????,labu? ?ernokrká,Sorthalset Svane,Zwarthalszwaan,mustkael-luik,mustakaulajoutsen,Cygne à cou noir,Cygne à cou noir,Schwarzhalsschwan,feketenyakú hattyú,Cigno collonero,?????????,Juodakakl? gulb?,Svarthalssvane,?ab?d? czarnoszyi,Cisne-de-pescoço-preto,??????????? ??????,labu? ?iernokrká,Cisne cuellinegro,svarthalsad svan
Cygnus olor,Cygnus olor,Mute Swan,????,??????????,labu? velká,Knopsvane,Knobbelzwaan,kühmnokk-luik,kyhmyjoutsen,Cygne tuberculé,Cygne tuberculé,Höckerschwan,bütykös hattyú,Cigno reale,???????,Gulb? nebyl?,Knoppsvane,?ab?d? niemy,Cisne-mudo,??????-?????,labu? ve?ká,Cisne vulgar,knölsvan
Cygnus buccinator,Cygnus buccinator,Trumpeter Swan,????,????,labu? truba?,Trompetérsvane,Trompetzwaan,ameerika laululuik (trompetluik),trumpettijoutsen,Cygne trompette,Cygne trompette,Trompeterschwan,trombitás hattyú,Cigno trombettiere,???????,Gulb? trimitinink?,Trompetersvane,?ab?d? tr?bi?cy,Cisne-trompeteiro,??????-??????,labu? trúbivá,Cisne trompetero,trumpetarsvan
Cygnus columbianus,Cygnus columbianus,Tundra Swan,???,???,labu? malá,Pibesvane,Kleine Zwaan,väikeluik,pikkujoutsen,Cygne siffleur,Cygne de Bewick,Zwergschwan,kis hattyú,Cigno minore,??????,Ma?oji gulb?,Dvergsvane,?ab?d? czarnodzioby,Cisne-pequeno,???????????? ??????,labu? malá,Cisne chico,mindre s?ngsvan
Cygnus cygnus,Cygnus cygnus,Whooper Swan,???,?????????,labu? zp?vná,Sangsvane,Wilde Zwaan,laululuik,laulujoutsen,Cygne chanteur,Cygne chanteur,Singschwan,énekes hattyú,Cigno selvatico,???????,Gulb? giesminink?,Sangsvane,?ab?d? krzykliwy,Cisne-bravo,??????-??????,labu? spevavá,Cisne cantor,s?ngsvan
Stictonetta naevosa,Stictonetta naevosa,Freckled Duck,????,???,kachnovec vlnkovan?,Sp?ttet And,Stippeleend,kiripart,tuhkasorsa,Stictonette tachetée,Stictonette tachetée,Affengans,gyöngyös réce,Anatra lentigginosa,?????,?lakuotoji antis,Fregneand,pstrokaczka,Pato-sardento,????????? ????,vlnkavka zobatá,Pato pecoso,vattrad and
Hymenolaimus malacorhynchos,Hymenolaimus malacorhynchos,Blue Duck,??,???,kachna m?kkozobá,Newzealandsk Str?mand,Blauwe Eend,maoori kosepart,vuorisorsa,Hyménolaime bleu,Hyménolaime bleu,Saumschnabelente,karimáscs?r? réce,Anatra blu,??????,Melsvoji antis,Kaskadeand,krzywonos,Pato-azul,????? ????,vahia modrá,Pato azul,bl?and
Tachyeres patachonicus,Tachyeres patachonicus,Flying Steamer Duck,????,????,kachyn? patagonská,Flyvende K?mpeand,Vliegende Booteend,järve-aurikpart,pilkkaviuhtoja,Brassemer de Patagonie,Brassemer de Patagonie,Langflügel-Dampfschiffente,patagóniai g?zhajóréce,Anatra vaporiera volatrice,??????,Patagonin? ?vynuotoji antis,Patagoniaskovleand,torpedówka lotna,Pato-vapor-voador,??????????? ????-???????,parníkovka malá,Pato vapor volador,l?ngvingad ?ngb?tsand
Tachyeres pteneres,Tachyeres pteneres,Fuegian Steamer Duck,???,???,kachyn? parníková,Duck K?mpeand,Reuzenbooteend,suur-aurikpart,isoviuhtoja,Brassemer cendré,Brassemer cendré,Magellan-Dampfschiffente,óriás-g?zhajóréce,Anatra vaporiera di Magellano,??????,Magelanin? ?vynuotoji antis,Chileskovleand,torpedówka magella?ska,Pato-vapor-cinzento,??????????? ????-???????,parníkovka ve?ká,Pato vapor del Magallanes,magellan?ngb?tsand
Tachyeres brachypterus,Tachyeres brachypterus,Falkland Steamer Duck,????,????,kachyn? krátkok?ídlá,Duck Falklandk?mpeand,Falklandbooteend,falklandi aurikpart,tyrskyviuhtoja,Brassemer des Malouines,Brassemer des Malouines,Falkland-Dampfschiffente,falklandi g?zhajóréce,Anatra vaporiera delle Falkland,????,Folklandin? ?vynuotoji antis,Falklandsskovleand,torpedówka falklandzka,Pato-vapor-das-malvinas,???????????? ????-???????,parníkovka prostredná,Pato vapor malvinero,falklands?ngb?tsand
Tachyeres leucocephalus,Tachyeres leucocephalus,Chubut Steamer Duck,????,????,kachyn? b?lohlavá,Duck Chubutk?mpeand,Witkopbooteend,valgepea-aurikpart,valkopääviuhtoja,Brassemer à tête blanche,Brassemer à tête blanche,Weißkopf-Dampfschiffente,fehérfej? g?zhajóréce,Anatra vaporiera testabianca,??????????,Baltagalv? ?vynuotoji antis,Hvithodeskovleand,torpedówka bia?og?owa,Pato-vapor-de-cabeça-branca,??????????? ????-???????,parníkovka bielohlavá,Pato vapor cabeciblanco,vithuvad ?ngb?tsand
Merganetta armata,Merganetta armata,Torrent Duck,??,??,kachna byst?inná,Skalleslugerand,Bergbeekeend,andi kosepart,koskisorsa,Merganette des torrents,Merganette des torrents,Sturzbachente,zuhatagi réce,Anatra di torrente,????,Andin? antis,Str?mand,zbrojówka,Pato-das-torrentes,???????? ????,potápa?ka riavová,Pato torrentero,forsand
Plectropterus gambensis,Plectropterus gambensis,Spur-winged Goose,???,???,pi?movka ostruhatá,Sporeg?s,Spoorwiekgans,toonehani,kynsihanhi,Oie-armée de Gambie,Oie-armée de Gambie,Sporngans,tüskésszárnyú lúd,Oca dallo sperone,?????,Pentinuotoji ??sis,Sporeg?s,g?siec,Pato-ferr?o,????????? ????,ostro?iarka lesklá,Ganso espolonado,sporrg?s
Sarkidiornis sylvicola,Sarkidiornis sylvicola,Comb Duck,????,????,0,Amerikansk Knopg?s,Amerikaanse Knobbeleend,0,0,Sarcidiorne sylvicole,Sarcidiorne sylvicole,Höckerschnabelente,0,0,0,0,0,dziwonos czarnoboczny,Pato-de-crista,?????? ????,hrebenatka hrbozobá,Pato crestudo americano,kamand
Sarkidiornis melanotos,Sarkidiornis melanotos,Knob-billed Duck,??,??,pi?movka h?ebenatá,Afrikansk Knopg?s,Knobbeleend,kühmnokk-part,kyhmysorsa,Sarcidiorne à bosse,Sarcidiorne à bosse,Glanzente,bütykös fényréce,Oca dal bernoccolo,????,Gumbasnap? antis,Kamand,dziwonos,Pato-de-carúncula,??????????? ????,hrebenatka ?kvrnitá,Pato crestudo afroasiático,knöland
Cyanochen cyanoptera,Cyanochen cyanoptera,Blue-winged Goose,???,???,husice modrok?ídlá,Bl?vinget G?s,Blauwvleugelgans,neegushani,etiopianhansu,Ouette à ailes bleues,Ouette à ailes bleues,Blauflügelgans,kékszárnyú lúd,Oca aliazzurre,????????,Melsvasparn? ??sis,Bl?vingeg?s,etiopka,Ganso-de-asas-azuis,???????????? ????,húska modrokrídla,Ganso aliazul,bl?vingad g?s
Alopochen aegyptiaca,Alopochen aegyptiaca,Egyptian Goose,???,???,husice nilská,Nilg?s,Nijlgans,vaaraohani,afrikanhanhi,Ouette d'Égypte,Ouette d'Égypte,Nilgans,nílusi lúd,Oca egiziana,??????,Egiptin? ??sis,Niland,kazarka egipska,Ganso do Egipto,???????? ????,húska ?tíhla,Ganso del Nilo,nilg?s
Alopochen mauritiana,Alopochen mauritiana,Mauritius Sheldgoose,?????,?????,husice mauricijská,Mauritiusgravand,Mauritiusgans,0,mauritiuksenhanhi,Ouette de Maurice,Ouette de Maurice,Mauritius-Gans,mauritiusi ásólúd,Casarca di Mauritius,0,Mauricin? ??sis,0,kazarka maurytyjska,0,???????????? ????,húska maurícijská,Ganso de Mauricio,mauritiusg?s
Alopochen kervazoi,Alopochen kervazoi,Reunion Sheldgoose,????,????,0,Réuniongravand,Réuniongans,0,0,Ouette de la Réunion,Ouette de la Réunion,Reunion-Gans,réunioni ásólúd,0,0,Kervazo egiptin? ??sis,0,kazarka reunio?ska,0,??????????? ????,húska réunionská,Ganso de Reunión,réuniong?s
Neochen jubata,Neochen jubata,Orinoco Goose,???,???,husice orinocká,Orinocog?s,Orinocogans,selvahani,amazonianhanhi,Ouette de l'Orénoque,Ouette de l'Orénoque,Orinokogans,orinocói lúd,Oca dell'Orinoco,??????,Orinokin? ??sis,Amazong?s,grzywoszyjka,Pato-corredor,?????????? ????,berna?ka hrivnatá,Ganso del Orinoco,orinocog?s
Chloephaga melanoptera,Chloephaga melanoptera,Andean Goose,????,????,husice andská,Andesg?s,Andesgans,mägi-nösuhani,andienhansu,Ouette des Andes,Ouette des Andes,Andengans,andoki lúd,Oca delle Ande,??????,Andin? ??sis,Andesg?s,magelanka andyjska,Ganso-andino,??????? ????,berna?ka ?iernokrídla,Cauquén guayata,andinsk g?s
Chloephaga picta,Chloephaga picta,Upland Goose,????,????,husice magellanská,Magellang?s,Magelhaengans,niidu-nösuhani,valkopäähansu,Ouette de Magellan,Ouette de Magellan,Magellangans,Magellán-lúd,Oca di Magellano,??????,Magelanin? ??sis,Sebrag?s,magelanka zmienna,Ganso-de-magalh?es,?????????? ????,berna?ka pásikavá,Cauquén común,magellang?s
Chloephaga hybrida,Chloephaga hybrida,Kelp Goose,???,???,husice patagonská,Tangg?s,Kelpgans,meri-nösuhani,tulimaanhansu,Ouette marine,Ouette marine,Kelpgans,szirti lúd,Oca del kelp,???????,Patogonin? ??sis,Tareg?s,magelanka skalna,Ganso-papa-alga,???????????? ????,berna?ka ?ltonohá,Cauquén caranca,kelpg?s
Chloephaga poliocephala,Chloephaga poliocephala,Ashy-headed Goose,????,????,husice rudoprsá,Gr?hovedet G?s,Grijskopgans,mets-nösuhani,harmaapäähansu,Ouette à tête grise,Ouette à tête grise,Graukopfgans,szürkefej? lúd,Oca testagrigia,?????,Pilkagalv? ??sis,Gr?hodeg?s,magelanka siwog?owa,Ganso-de-cabeça-cinzenta,??????????? ????,berna?ka sivohlavá,Cauquén cabecigrís,gr?huvad g?s
Chloephaga rubidiceps,Chloephaga rubidiceps,Ruddy-headed Goose,????,????,husice rudohlavá,R?dhovedet G?s,Roodkopgans,väike-nösuhani,punapäähansu,Ouette à tête rousse,Ouette à tête rousse,Rotkopfgans,r?tesfej? lúd,Oca testarossiccia,??????????,Rusvagalv? ??sis,Brunhodeg?s,magelanka rudog?owa,Ganso-de-cabeça-ruiva,??????????? ????,berna?ka ?ervenohlavá,Cauquén colorado,rosthuvad g?s
Tadorna tadorna,Tadorna tadorna,Common Shelduck,????,????????,husice li??í,Gravand,Bergeend,ristpart,ristisorsa,Tadorne de Belon,Tadorne de Belon,Brandgans,bütykös ásólúd,Volpoca,?????,Paprastoji urvin? antis,Gravand,ohar,Tadorna,???????,kazarka pestrá,Tarro blanco,gravand
Tadorna radjah,Tadorna radjah,Raja Shelduck,????,????,husice královská,Radjahgravand,Radjaheend,valge-ristpart,pulmussorsa,Tadorne radjah,Tadorne radjah,Radjahgans,radjah ásólúd,Casarca del ragià,??????????,Baltakakl? urvin? antis,Beltegravand,kazarka nadobna,Pato-rajá,???????-?????,kazarka rad?a,Tarro rajá,vithuvad gravand
Tadorna ferruginea,Tadorna ferruginea,Ruddy Shelduck,???,"??????,????",husice rezavá,Rustand,Casarca,tulipart,ruostesorsa,Tadorne casarca,Tadorne casarca,Rostgans,vörös ásólúd,Casarca,???????,Rudoji urvin? antis,Rustand,kazarka rdzawa,Pato-casarca,?????,kazarka hrdzavá,Tarro canelo,rostand
Tadorna cana,Tadorna cana,South African Shelduck,????,????,husice ?edohlavá,Sydafrikansk Gravand,Kaapse Casarca,kapi tulipart,kapinsorsa,Tadorne à tête grise,Tadorne à tête grise,Graukopfkasarka,szürkefej? ásólúd,Casarca del Sudafrica,???????????,Pilkagalv? urvin? antis,Kapprustand,kazarka szarog?owa,Pato-de-cabeça-cinzenta,??????????? ?????,kazarka sivohlavá,Tarro sudafricano,gr?huvad rostand
Tadorna tadornoides,Tadorna tadornoides,Australian Shelduck,????,????,husice australská,Australsk Gravand,Australische Bergeend,billabongipart,australiansorsa,Tadorne d'Australie,Tadorne d'Australie,Halsbandkasarka,ausztrál ásólúd,Casarca australiana,??????????,Australin? urvin? antis,Praktrustand,kazarka obro¿na,Pato-australiano,????????????? ?????,kazarka ?iernohlavá,Tarro australiano,australisk gravand
Tadorna variegata,Tadorna variegata,Paradise Shelduck,????,????,husice rajská,Paradisgravand,Paradijscasarca,paradiisipart,paratiisisorsa,Tadorne de paradis,Tadorne de paradis,Paradieskasarka,új-zélandi ásólúd,Casarca del paradiso,?????????,Naujosios Zelandijos urvin? antis,Maorirustand,kazarka rajska,Pato-do-paraíso,?????????????? ?????,kazarka rajská,Tarro maorí,paradisgravand
Tadorna cristata,Tadorna cristata,Crested Shelduck,???,????,husice chocholatá,Koreagravand,Kuifcasarca,vikerpart,amurinsorsa,Tadorne de Corée,Tadorne de Corée,Schopfkasarka,koreai ásólúd,Casarca crestata,?????????,Kuoduotasis urvin? antis,Koreagravand,kazarka czubata,Pato-de-crista-da-coréia,???????? ???????,kazarka chochlatá,Tarro crestado,tofsgravand
